Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case0/trafo_none/order_4/cells_4/hybridization_cg_params_warm_up', parameters='hybridization_cg_params', p=4, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=4, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case0/trafo_none/order_4/cells_4/hybridization_cg_params_warm_up_flame.txt:ascii_flamegraph', clean=True, verification=False)

Running:  warm_up

with params:  hybridization_cg_params

    Residual norms for firedrake_0_ solve.
    221 KSP Residual norm 1.667887950808e-04 
    222 KSP Residual norm 1.658756766653e-04 
    223 KSP Residual norm 1.470976632392e-04 
    224 KSP Residual norm 1.438163423557e-04 
    225 KSP Residual norm 1.305933712135e-04 
    226 KSP Residual norm 1.213828188414e-04 
    227 KSP Residual norm 1.158115370002e-04 
    228 KSP Residual norm 1.148243269009e-04 
    229 KSP Residual norm 9.983404140932e-05 
    230 KSP Residual norm 8.880583910764e-05 
    231 KSP Residual norm 8.154868253636e-05 
    232 KSP Residual norm 7.647403415203e-05 
    233 KSP Residual norm 7.508690531396e-05 
    234 KSP Residual norm 6.433066250935e-05 
    235 KSP Residual norm 6.689682625437e-05 
    236 KSP Residual norm 6.358275746984e-05 
    237 KSP Residual norm 5.731841115900e-05 
    238 KSP Residual norm 5.904015257848e-05 
    239 KSP Residual norm 5.611223848987e-05 
    240 KSP Residual norm 5.000721132017e-05 
    241 KSP Residual norm 4.919020727545e-05 
    242 KSP Residual norm 4.355359610447e-05 
    243 KSP Residual norm 4.133222395657e-05 
    244 KSP Residual norm 3.888906844318e-05 
    245 KSP Residual norm 3.517661036195e-05 
    246 KSP Residual norm 3.395167320482e-05 
    247 KSP Residual norm 3.046947615150e-05 
    248 KSP Residual norm 2.517268947335e-05 
    249 KSP Residual norm 2.486764823461e-05 
    250 KSP Residual norm 2.046590671046e-05 
    251 KSP Residual norm 1.757408261410e-05 
    252 KSP Residual norm 1.713058712922e-05 
    253 KSP Residual norm 1.544531935053e-05 
    254 KSP Residual norm 1.538839145618e-05 
    255 KSP Residual norm 1.422717700259e-05 
    256 KSP Residual norm 1.263783283296e-05 
    257 KSP Residual norm 1.137765666723e-05 
    258 KSP Residual norm 1.042014407408e-05 
    259 KSP Residual norm 8.967863396153e-06 
    260 KSP Residual norm 9.121223626383e-06 
    261 KSP Residual norm 8.111626541840e-06 
    262 KSP Residual norm 6.528748562707e-06 
    263 KSP Residual norm 6.361855648852e-06 
    264 KSP Residual norm 5.902392621416e-06 
    265 KSP Residual norm 5.094638255917e-06 
    266 KSP Residual norm 5.394290450625e-06 
    267 KSP Residual norm 4.950074902439e-06 
    268 KSP Residual norm 4.084598928061e-06 
    269 KSP Residual norm 4.064748316130e-06 
    270 KSP Residual norm 3.874687715011e-06 
    271 KSP Residual norm 3.578807082539e-06 
    272 KSP Residual norm 3.538395222809e-06 
    273 KSP Residual norm 2.802597036390e-06 
    274 KSP Residual norm 2.275193126436e-06 
    275 KSP Residual norm 1.822607754852e-06 
    276 KSP Residual norm 1.748964345290e-06 
    277 KSP Residual norm 1.590500597233e-06 
    278 KSP Residual norm 1.505945407621e-06 
    279 KSP Residual norm 1.456560278816e-06 
    280 KSP Residual norm 1.293883659225e-06 
    281 KSP Residual norm 1.274382924263e-06 
    282 KSP Residual norm 1.274640211338e-06 
    283 KSP Residual norm 1.057256488906e-06 
    284 KSP Residual norm 8.905086263545e-07 
    285 KSP Residual norm 8.700658010725e-07 
    286 KSP Residual norm 7.566573031828e-07 
    287 KSP Residual norm 7.189380849008e-07 
    288 KSP Residual norm 7.030452843485e-07 
    289 KSP Residual norm 6.301285264903e-07 
    290 KSP Residual norm 6.040330057045e-07 
    291 KSP Residual norm 5.498061404686e-07 
    292 KSP Residual norm 4.915120842206e-07 
    293 KSP Residual norm 4.842980888357e-07 
    294 KSP Residual norm 4.126171429866e-07 
    295 KSP Residual norm 3.685361714072e-07 
    296 KSP Residual norm 3.514086620340e-07 
    297 KSP Residual norm 3.080946885740e-07 
    298 KSP Residual norm 2.779757161043e-07 
    299 KSP Residual norm 2.616313323022e-07 
    300 KSP Residual norm 2.313385492983e-07 
    301 KSP Residual norm 2.286580707949e-07 
    302 KSP Residual norm 1.980023140043e-07 
    303 KSP Residual norm 1.865060392503e-07 
    304 KSP Residual norm 1.976196212384e-07 
    305 KSP Residual norm 1.735358692599e-07 
    306 KSP Residual norm 1.601364957452e-07 
    307 KSP Residual norm 1.408818532587e-07 
    308 KSP Residual norm 1.124920110807e-07 
    309 KSP Residual norm 1.037025990415e-07 
    310 KSP Residual norm 1.011161177250e-07 
    311 KSP Residual norm 9.716246246807e-08 
    312 KSP Residual norm 8.463386468065e-08 
    313 KSP Residual norm 8.586769448652e-08 
    314 KSP Residual norm 7.369748739180e-08 
    315 KSP Residual norm 7.478650421188e-08 
    316 KSP Residual norm 6.975935283887e-08 
    317 KSP Residual norm 6.196349010418e-08 
    318 KSP Residual norm 5.372661503796e-08 
    319 KSP Residual norm 4.927842805298e-08 
    320 KSP Residual norm 4.371544024837e-08 
    321 KSP Residual norm 4.224112872522e-08 
    322 KSP Residual norm 4.072323777126e-08 
    323 KSP Residual norm 3.897138899775e-08 
    324 KSP Residual norm 3.616223852149e-08 
    325 KSP Residual norm 3.545909675842e-08 
    326 KSP Residual norm 3.142329134230e-08 
    327 KSP Residual norm 2.574956285301e-08 
    328 KSP Residual norm 2.332371569200e-08 
    329 KSP Residual norm 1.996530681924e-08 
    330 KSP Residual norm 1.674104449381e-08 
    331 KSP Residual norm 1.560491486808e-08 
    332 KSP Residual norm 1.485448204635e-08 
    333 KSP Residual norm 1.367783656859e-08 
    334 KSP Residual norm 1.251578195359e-08 
    335 KSP Residual norm 1.131942825189e-08 
    336 KSP Residual norm 1.034534626983e-08 
    337 KSP Residual norm 1.019046377573e-08 
    338 KSP Residual norm 9.008487509036e-09 
    339 KSP Residual norm 8.223502932363e-09 
    340 KSP Residual norm 6.696496251501e-09 
    341 KSP Residual norm 7.043297482299e-09 
    342 KSP Residual norm 5.786958956095e-09 
    343 KSP Residual norm 5.477175701241e-09 
    344 KSP Residual norm 5.132303860651e-09 
    345 KSP Residual norm 4.894328290053e-09 
    346 KSP Residual norm 4.272592990124e-09 
    347 KSP Residual norm 4.476876676737e-09 
    348 KSP Residual norm 4.325999387190e-09 
    349 KSP Residual norm 4.410561404041e-09 
    350 KSP Residual norm 4.003032576930e-09 
    351 KSP Residual norm 3.758441852339e-09 
    352 KSP Residual norm 3.314851264366e-09 
    353 KSP Residual norm 3.069742527448e-09 
    354 KSP Residual norm 2.637311497865e-09 
    355 KSP Residual norm 2.447063548081e-09 
    356 KSP Residual norm 2.200281863740e-09 
    357 KSP Residual norm 1.948609089326e-09 
    358 KSP Residual norm 1.837068869971e-09 
    359 KSP Residual norm 1.651427895766e-09 
    360 KSP Residual norm 1.517734053051e-09 
    361 KSP Residual norm 1.434386616182e-09 
    362 KSP Residual norm 1.274953518246e-09 
    363 KSP Residual norm 1.122232702786e-09 
    364 KSP Residual norm 1.037149779736e-09 
    365 KSP Residual norm 9.716748855000e-10 
    366 KSP Residual norm 8.937007322047e-10 
    367 KSP Residual norm 8.116307552675e-10 
    368 KSP Residual norm 7.808022745392e-10 
    369 KSP Residual norm 6.898072327779e-10 
    370 KSP Residual norm 6.552793416664e-10 
    371 KSP Residual norm 6.105420407158e-10 
    372 KSP Residual norm 5.832492066374e-10 
    373 KSP Residual norm 4.603222577859e-10 
    374 KSP Residual norm 4.027789876629e-10 
    375 KSP Residual norm 3.572537819771e-10 
    376 KSP Residual norm 3.154553153092e-10 
    377 KSP Residual norm 3.125190434163e-10 
    378 KSP Residual norm 2.438355084096e-10 
    379 KSP Residual norm 1.996875292176e-10 
    380 KSP Residual norm 1.703371209266e-10 
    381 KSP Residual norm 1.597834495216e-10 
    382 KSP Residual norm 1.426336239395e-10 
    383 KSP Residual norm 1.157446895482e-10 
    384 KSP Residual norm 1.113637292361e-10 
    385 KSP Residual norm 1.036372865753e-10 
    386 KSP Residual norm 8.523252799595e-11 
    387 KSP Residual norm 6.816447422207e-11 
    388 KSP Residual norm 6.803258221337e-11 
    389 KSP Residual norm 5.590932473586e-11 
    1 KSP Residual norm 1.875748944363e-12 
KSP Object: (firedrake_0_) 1 MPI processes
  type: fgmres
    restart=30, using Classical (unmodified) Gram-Schmidt Orthogonalization with no iterative refinement
    happy breakdown tolerance 1e-30
  maximum iterations=2, initial guess is zero
  tolerances:  relative=1e-09, absolute=1e-90, divergence=10000.
  right preconditioning
  using UNPRECONDITIONED norm type for convergence test
PC Object: (firedrake_0_) 1 MPI processes
  type: python
    Python: firedrake.HybridizationPC
  Firedrake custom preconditioner HybridizationPC
  Applying hybridization to mixed problem.
  Statically condensing to trace system.
  KSP solver for the multipliers:
  KSP Object: (firedrake_0_hybridization_) 1 MPI processes
    type: cg
    maximum iterations=10000, initial guess is zero
    tolerances:  relative=1e-11, absolute=1e-90, divergence=10000.
    left preconditioning
    using PRECONDITIONED norm type for convergence test
  PC Object: (firedrake_0_hybridization_) 1 MPI processes
    type: jacobi
      type DIAGONAL
    linear system matrix = precond matrix:
    Mat Object: (firedrake_0_hybridization_) 1 MPI processes
      type: seqaij
      rows=326400, cols=326400
      total: nonzeros=84960000, allocated nonzeros=84960000
      total number of mallocs used during MatSetValues calls=0
        using I-node routines: found 65280 nodes, limit used is 5
  Locally reconstructing solutions.
  Projecting broken flux into HDiv space.
  linear system matrix = precond matrix:
  Mat Object: (firedrake_0_) 1 MPI processes
    type: python
    rows=2067200, cols=2067200
