Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case0/trafo_none/order_3/cells_4/hybridization_cg_params_warmed_up', parameters='hybridization_cg_params', p=3, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=4, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case0/trafo_none/order_3/cells_4/hybridization_cg_params_warmed_up_flame.txt:ascii_flamegraph', clean=False, verification=False)

Running:  warmed_up

with params:  hybridization_cg_params

    Residual norms for firedrake_0_ solve.
    tolerances:  relative=1e-11, absolute=1e-90, divergence=10000.
    left preconditioning
    using PRECONDITIONED norm type for convergence test
  PC Object: (firedrake_0_hybridization_) 1 MPI processes
    type: jacobi
      type DIAGONAL
    linear system matrix = precond matrix:
    Mat Object: (firedrake_0_hybridization_) 1 MPI processes
      type: seqaij
      rows=208896, cols=208896
      total: nonzeros=34799616, allocated nonzeros=34799616
      total number of mallocs used during MatSetValues calls=0
        using I-node routines: found 52224 nodes, limit used is 5
  Locally reconstructing solutions.
  Projecting broken flux into HDiv space.
  linear system matrix = precond matrix:
  Mat Object: (firedrake_0_) 1 MPI processes
    type: python
    rows=1060864, cols=1060864
        Python: firedrake.matrix_free.operators.ImplicitMatrixContext
      Firedrake matrix-free operator ImplicitMatrixContext
TIMING 98.82046055793762
Solved succesfully.
